30-03-2022 09:11:51.731 [main] INFO  com.example.demo.DemoApplication.logStarting - Starting DemoApplication using Java 18 on ndhuy2 with PID 4076 (D:\CRUD_SpringBoot-master\CRUD_SpringBoot-master\git\demo\target\classes started by ndhuy2 in D:\CRUD_SpringBoot-master\CRUD_SpringBoot-master\git\demo)
30-03-2022 09:11:51.750 [main] INFO  com.example.demo.DemoApplication.logStartupProfileInfo - The following 1 profile is active: "prod"
30-03-2022 09:12:09.696 [main] INFO  com.example.demo.DemoApplication.logStarted - Started DemoApplication in 19.643 seconds (JVM running for 25.139)
30-03-2022 09:12:16.637 [main] INFO  com.example.demo.DemoApplication.logStarting - Starting DemoApplication using Java 18 on ndhuy2 with PID 17684 (D:\CRUD_SpringBoot-master\CRUD_SpringBoot-master\git\demo\target\classes started by ndhuy2 in D:\CRUD_SpringBoot-master\CRUD_SpringBoot-master\git\demo)
30-03-2022 09:12:16.640 [main] INFO  com.example.demo.DemoApplication.logStartupProfileInfo - The following 1 profile is active: "prod"
30-03-2022 09:12:23.133 [main] INFO  com.example.demo.DemoApplication.logStarted - Started DemoApplication in 7.193 seconds (JVM running for 7.864)
30-03-2022 09:12:58.864 [http-nio-8080-exec-7] INFO  c.e.d.controller.ClassroomController.adminPage - new 
30-03-2022 09:13:06.000 [http-nio-8080-exec-9] INFO  c.e.d.controller.ClassroomController.editStudent - dbadmin1 edit classroom with id: 10001 successful
30-03-2022 10:32:45.569 [main] INFO  com.example.demo.DemoApplication.logStarting - Starting DemoApplication using Java 18 on ndhuy2 with PID 18096 (D:\CRUD_SpringBoot-master\CRUD_SpringBoot-master\git\demo\target\classes started by ndhuy2 in D:\CRUD_SpringBoot-master\CRUD_SpringBoot-master\git\demo)
30-03-2022 10:32:45.572 [main] INFO  com.example.demo.DemoApplication.logStartupProfileInfo - The following 1 profile is active: "prod"
30-03-2022 10:32:54.904 [main] INFO  com.example.demo.DemoApplication.logStarted - Started DemoApplication in 11.201 seconds (JVM running for 12.99)
30-03-2022 10:33:19.478 [http-nio-8080-exec-6] INFO  c.e.d.controller.ClassroomController.adminPage - new 
